name,email,address,user_type,user_lat_lng,user_postcode,user_id
Norma Fisher,ysullivan@yahoo.com,"Alwina-Etzold-Ring 19
89241 Sömmerda",looker,[<shapely.geometry.point.Point object at 0x7fb73101cee0>],10719,1
Brian Hamilton,hramos@brown-sellers.com,"Eleonore-Oderwald-Ring 51
93328 Bremen",giver,[<shapely.geometry.point.Point object at 0x7fb73101cdf0>],12349,2
Sheri Bolton DDS,jasmine85@hotmail.com,"Conradistr. 5/9
42320 Naila",giver,[<shapely.geometry.point.Point object at 0x7fb730092f80>],12357,3
Peter Mcdowell,villanuevasandra@vega.net,"Salzring 7/5
59179 Erfurt",giver,[<shapely.geometry.point.Point object at 0x7fb730092ce0>],10781,4
Devin Thornton,marvincabrera@gmail.com,"Margot-Ruppert-Allee 013
61510 Euskirchen",giver,[<shapely.geometry.point.Point object at 0x7fb7302abd60>],12057,5
Karen Acosta,stephenschristine@jones-jones.com,"Burkard-Pärtzelt-Straße 916
45792 Zeulenroda",giver,[<shapely.geometry.point.Point object at 0x7fb730092c50>],12277,6
Brooke Martin,carlsonscott@gmail.com,"Rudolphallee 5
42807 Holzminden",giver,[<shapely.geometry.point.Point object at 0x7fb731028f40>],10963,7
Brandy Gill,chelsea59@hotmail.com,"Wellerstraße 093
23376 Backnang",looker,[<shapely.geometry.point.Point object at 0x7fb72fe66c80>],14059,8
Latoya Barton,seangreen@griffin.net,"Junkring 0/6
81206 Helmstedt",giver,[<shapely.geometry.point.Point object at 0x7fb73101c0d0>],12057,9
Mitchell Smith,davidbanks@ramirez-good.com,"Anastasios-Höfig-Straße 428
12400 Forchheim",looker,[<shapely.geometry.point.Point object at 0x7fb731028e20>],14195,10
Theresa Mays,djoseph@graham.biz,"Gerd-Hiller-Ring 5
59004 Dresden",looker,[<shapely.geometry.point.Point object at 0x7fb73102a6e0>],10587,11
William Anderson,dcross@white-mills.com,"Jacobstraße 187
55171 Magdeburg",giver,[<shapely.geometry.point.Point object at 0x7fb7310292d0>],13437,12
Nicholas Kline,odrake@jones.com,"Andersgasse 8/8
77936 Kehl",giver,[<shapely.geometry.point.Point object at 0x7fb73102a680>],10318,13
Debbie Waters MD,brownmichelle@hotmail.com,"Ernst-Ortmann-Straße 3
39213 Klötze",looker,[<shapely.geometry.point.Point object at 0x7fb731029210>],10827,14
Brittany Hinton,annelittle@yahoo.com,"Ottoweg 89
05550 Greiz",giver,[<shapely.geometry.point.Point object at 0x7fb7310287f0>],10781,15
Lauren Robbins,marshzachary@gmail.com,"Artur-Jacob-Gasse 5/2
75868 Riesa",giver,[<shapely.geometry.point.Point object at 0x7fb731028ac0>],13593,16
Renee Chang,nbullock@nichols-george.info,"Gerlinde-Ackermann-Allee 48
51744 Kronach",looker,[<shapely.geometry.point.Point object at 0x7fb731029930>],10318,17
Martin Anderson,brian07@yahoo.com,"Gundel-Tintzmann-Platz 6
97670 München",giver,[<shapely.geometry.point.Point object at 0x7fb731028e80>],12526,18
